agency,1,2,3,4
ACER,46,325,93,0
BBI,3,99,29,1
BEREC,4,112,89,0
CDT,3,105,3,18
CEDEFOP,305,3658,374,60
CEPOL,4,441,115,17
CLEANSKY,10,214,47,2
CVPO,6,195,79,1
EASA,20,471,192,8
EASO,52,74,35,2
EBA,316,1410,851,8
ECDC,623,367,14,10
ECHA,406,1716,137,1
ECSEL,3,103,31,2
EDA,21,1042,41,5
EEA,280,603,79,16
EFCA,1,127,13,2
EFSA,387,330,74,7
EIGE,24,127,14,47
EIOPA,100,190,127,2
EIT,64,1499,66,102
EMA,922,1500,611,11
EMCDDA,108,361,151,3
EMSA,6,215,12,0
ENISA,60,967,129,54
ERA,0,75,23,3
ESMA,194,1464,760,6
ETF,9,380,7,2
EUIPO,0,587,880,0
EULISA,6,210,76,7
EUROFOUND,376,908,64,4
EUROJUST,7,669,55,33
EUROPOL,54,1482,25,47
FRA,91,992,171,89
FRONTEX,103,419,42,4
OSHA,0,1,0,0
SRB,2,180,61,1
