agency,predicted_labels,confidence
ACER,1,0.6573023115452947
ACER,2,0.6667956285648228
ACER,3,0.5870349938969174
BBI,1,0.4401825493539646
BBI,2,0.602513392740973
BBI,3,0.5215683778978816
BBI,4,0.46185818629693104
BEREC,1,0.4032333108830997
BEREC,2,0.5832627767500067
BEREC,3,0.6033645815041101
CDT,1,0.8029637568972796
CDT,2,0.6266515779882601
CDT,3,0.658431933658628
CDT,4,0.5616951121647722
CEDEFOP,1,0.6008717367635018
CEDEFOP,2,0.6034727239038082
CEDEFOP,3,0.500193393976965
CEDEFOP,4,0.6256781632486209
CEPOL,1,0.5383056181208243
CEPOL,2,0.6449409584592373
CEPOL,3,0.6079075146478058
CEPOL,4,0.695178104592761
CLEANSKY,1,0.44702820331901777
CLEANSKY,2,0.5553327524713367
CLEANSKY,3,0.4875817115857157
CLEANSKY,4,0.5231313005113066
CVPO,1,0.6491346628283443
CVPO,2,0.5735499663937603
CVPO,3,0.5410417495323949
CVPO,4,0.4181509279944049
EASA,1,0.5587474466420743
EASA,2,0.5666470870098322
EASA,3,0.5511540898143064
EASA,4,0.7624233511368205
EASO,1,0.7318842313392687
EASO,2,0.5813147416806587
EASO,3,0.5805512149794828
EASO,4,0.6565056252494108
EBA,1,0.6425243612035139
EBA,2,0.6076930454655369
EBA,3,0.5707808585212528
EBA,4,0.7313571235837317
ECDC,1,0.7173605479453116
ECDC,2,0.5682718514270246
ECDC,3,0.5699856020654309
ECDC,4,0.6111083417417827
ECHA,1,0.645528495481004
ECHA,2,0.68889429788798
ECHA,3,0.5304293842579018
ECHA,4,0.45332304307607374
ECSEL,1,0.49394685821038786
ECSEL,2,0.589003027608491
ECSEL,3,0.5428602399985464
ECSEL,4,0.5952931180853941
EDA,1,0.6441683420751944
EDA,2,0.7008419662990796
EDA,3,0.5087366015281474
EDA,4,0.5371000815370246
EEA,1,0.6552914852591534
EEA,2,0.610260332109975
EEA,3,0.4023985276482603
EEA,4,0.5795273253285751
EFCA,1,0.38721024753629546
EFCA,2,0.7205791731727771
EFCA,3,0.525479466372399
EFCA,4,0.683106724742906
EFSA,1,0.680386089251906
EFSA,2,0.5584410425107986
EFSA,3,0.5235248717065003
EFSA,4,0.6347267606433914
EIGE,1,0.5010737617739124
EIGE,2,0.5743921786167848
EIGE,3,0.520160810601882
EIGE,4,0.6134288835950114
EIOPA,1,0.7134903184674886
EIOPA,2,0.6163413984135456
EIOPA,3,0.6029931677535662
EIOPA,4,0.746703427082736
EIT,1,0.43024929330649914
EIT,2,0.6162127343246216
EIT,3,0.49956570809797474
EIT,4,0.5363355155019707
EMA,1,0.6722493837755634
EMA,2,0.5981263307188659
EMA,3,0.5340321065934541
EMA,4,0.5668889303473351
EMCDDA,1,0.7513516640394522
EMCDDA,2,0.639040625328753
EMCDDA,3,0.46650237020092883
EMCDDA,4,0.551553252085831
EMSA,1,0.49921801896153895
EMSA,2,0.6230882834029741
EMSA,3,0.4821133112489928
ENISA,1,0.5164693058903224
ENISA,2,0.5900547122781276
ENISA,3,0.48870535333124393
ENISA,4,0.6024784739096312
ERA,2,0.6826820529673241
ERA,3,0.5771735662585039
ERA,4,0.6461863059603957
ESMA,1,0.6243954333910097
ESMA,2,0.6192470981154103
ESMA,3,0.5628961784736158
ESMA,4,0.706540338375528
ETF,1,0.6666467931902016
ETF,2,0.7235375142268387
ETF,3,0.5363142757723299
ETF,4,0.4855511722194996
EUIPO,2,0.563811031086794
EUIPO,3,0.5795869225178497
EULISA,1,0.4696484239109299
EULISA,2,0.5919919398231619
EULISA,3,0.5473199513532767
EULISA,4,0.5043771611124683
EUROFOUND,1,0.6300425523480708
EUROFOUND,2,0.570940012479529
EUROFOUND,3,0.48503174242956393
EUROFOUND,4,0.457325408660787
EUROJUST,1,0.4809706269360873
EUROJUST,2,0.6282877746002563
EUROJUST,3,0.49390511808714754
EUROJUST,4,0.668544805869276
EUROPOL,1,0.553415159539817
EUROPOL,2,0.6677610673590874
EUROPOL,3,0.5031638005523418
EUROPOL,4,0.583918307364619
FRA,1,0.473459119886274
FRA,2,0.5662534742750674
FRA,3,0.49709388040257874
FRA,4,0.5985172029841728
FRONTEX,1,0.7285356337258774
FRONTEX,2,0.6604477358626951
FRONTEX,3,0.5375862540284623
FRONTEX,4,0.7196291535285849
OSHA,2,0.5882876999830307
SRB,1,0.7375467342127283
SRB,2,0.6666326626242544
SRB,3,0.572397591533873
SRB,4,0.8807292250591929
