agency,confidence
ACER,0.6498679742393626
BBI,0.5799751111723767
BEREC,0.5884771316751168
CDT,0.6224272463519451
CEDEFOP,0.5948105805993406
CEPOL,0.6383008268900894
CLEANSKY,0.5394655461817124
CVPO,0.5654715322590994
EASA,0.564380172167748
EASO,0.6301078201766346
EBA,0.6001819186990227
ECDC,0.6603178231656618
ECHA,0.671393510189146
ECSEL,0.5767511229815213
EDA,0.6919283725316134
EEA,0.6058594243602735
EFCA,0.699987494774867
EFSA,0.615011138345659
EIGE,0.5711650275674408
EIOPA,0.6361036675517683
EIT,0.6001827861582271
EMA,0.607599482024241
EMCDDA,0.6162699247456476
EMSA,0.6126379775982684
ENISA,0.5761552837167102
ERA,0.6575713357859019
ESMA,0.602207427140684
ETF,0.717762258341095
EUIPO,0.5732744151763162
EULISA,0.5761309509597521
EUROFOUND,0.5829740119559336
EUROJUST,0.619002716864664
EUROPOL,0.6589114277992931
FRA,0.5532980722300448
FRONTEX,0.664126603668212
OSHA,0.5882876999830307
SRB,0.6445326026615438
